,rlon,rlat,time,TOT_PR,year,month
0,-2.84,-1.2,0,0.010388914,1999,6
1,-2.82,-1.2,0,0.015482963,1999,6
2,-2.8,-1.2,0,0.017549993,1999,6
3,-2.78,-1.2,0,0.012782798,1999,6
4,-2.76,-1.2,0,0.0056145145,1999,6
5,-2.74,-1.2,0,0.0064547365,1999,6
6,-2.72,-1.2,0,0.0044609783,1999,6
7,-2.7,-1.2,0,0.004154384,1999,6
8,-2.68,-1.2,0,0.007618503,1999,6
9,-2.66,-1.2,0,0.019104026,1999,6
10,-2.64,-1.2,0,0.019178992,1999,6
11,-2.62,-1.2,0,0.0052580973,1999,6
12,-2.6,-1.2,0,0.003698988,1999,6
13,-2.58,-1.2,0,0.0031659296,1999,6
14,-2.56,-1.2,0,0.0032069848,1999,6
15,-2.54,-1.2,0,0.0041793683,1999,6
16,-2.52,-1.2,0,0.008037711,1999,6
144,-2.84,-1.18,0,0.0074992473,1999,6
145,-2.82,-1.18,0,0.013569246,1999,6
146,-2.8,-1.18,0,0.016260771,1999,6
147,-2.78,-1.18,0,0.014521406,1999,6
148,-2.76,-1.18,0,0.0143195335,1999,6
149,-2.74,-1.18,0,0.014407792,1999,6
150,-2.72,-1.18,0,0.009651075,1999,6
151,-2.7,-1.18,0,0.004118912,1999,6
152,-2.68,-1.18,0,0.005791124,1999,6
153,-2.66,-1.18,0,0.011577554,1999,6
154,-2.64,-1.18,0,0.008038965,1999,6
155,-2.62,-1.18,0,0.0051751784,1999,6
156,-2.6,-1.18,0,0.0037228486,1999,6
157,-2.58,-1.18,0,0.003203584,1999,6
158,-2.56,-1.18,0,0.0030867106,1999,6
159,-2.54,-1.18,0,0.0056606256,1999,6
160,-2.52,-1.18,0,0.013910257,1999,6
288,-2.84,-1.16,0,0.004826362,1999,6
289,-2.82,-1.16,0,0.011684859,1999,6
290,-2.8,-1.16,0,0.015330418,1999,6
291,-2.78,-1.16,0,0.01920113,1999,6
292,-2.76,-1.16,0,0.02014505,1999,6
293,-2.74,-1.16,0,0.017890932,1999,6
294,-2.72,-1.16,0,0.011783808,1999,6
295,-2.7,-1.16,0,0.0053750896,1999,6
296,-2.68,-1.16,0,0.0039423387,1999,6
297,-2.66,-1.16,0,0.0071504298,1999,6
298,-2.64,-1.16,0,0.0054108384,1999,6
299,-2.62,-1.16,0,0.0051853852,1999,6
300,-2.6,-1.16,0,0.00347444,1999,6
301,-2.58,-1.16,0,0.002891741,1999,6
302,-2.56,-1.16,0,0.0027550142,1999,6
303,-2.54,-1.16,0,0.009198882,1999,6
304,-2.52,-1.16,0,0.014517487,1999,6
432,-2.84,-1.14,0,0.0029193894,1999,6
433,-2.82,-1.14,0,0.00994451,1999,6
434,-2.8,-1.14,0,0.014760662,1999,6
435,-2.78,-1.14,0,0.015981391,1999,6
436,-2.76,-1.14,0,0.018004641,1999,6
437,-2.74,-1.14,0,0.017447835,1999,6
438,-2.72,-1.14,0,0.01343958,1999,6
439,-2.7,-1.14,0,0.007564809,1999,6
440,-2.68,-1.14,0,0.0031894268,1999,6
441,-2.66,-1.14,0,0.0040854393,1999,6
442,-2.64,-1.14,0,0.0047158166,1999,6
443,-2.62,-1.14,0,0.0055573117,1999,6
444,-2.6,-1.14,0,0.004444287,1999,6
445,-2.58,-1.14,0,0.0028294576,1999,6
446,-2.56,-1.14,0,0.0045669544,1999,6
447,-2.54,-1.14,0,0.010089439,1999,6
448,-2.52,-1.14,0,0.01205891,1999,6
576,-2.84,-1.12,0,0.0026017094,1999,6
577,-2.82,-1.12,0,0.0071679424,1999,6
578,-2.8,-1.12,0,0.012508245,1999,6
